playerID,pos,height,weight,college,collegeOther,age,year,stint,tmID,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ,playerPowerRanking,PER
abrossv01w,F,74.0,169,Connecticut,,43.0,2,0,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.13303646258995,11.60589125295508
abrossv01w,F,74.0,169,Connecticut,,43.0,3,0,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.04457813409863,8.358739130434781
abrossv01w,F,74.0,169,Connecticut,,43.0,4,0,MIN,3,3,69,23,1,4,5,4,4,1,8,8,22,6,8,8,7,3,0,42.7383611039106,11.83734343434344
abrossv01w,F,74.0,169,Connecticut,,43.0,5,0,MIN,2,2,67,20,3,6,9,3,1,2,3,7,23,8,4,2,8,2,0,30.90100073073206,9.500123376623371
abrossv01w,F,74.0,169,Connecticut,,43.0,6,0,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.65808690132438,10.303930501930502
abrossv01w,F,74.0,169,Connecticut,,43.0,7,0,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.970514313471952,10.552832872928176
abrossv01w,F,74.0,169,Connecticut,,43.0,8,0,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.85716508284942,14.88361803084223
abrossv01w,F,74.0,169,Connecticut,,43.0,9,0,CON,3,2,63,24,3,8,11,4,4,0,3,8,24,11,4,2,5,0,0,20.669712452068556,8.371981308411218
adamsjo01w,C,75.0,180,New Mexico,,42.0,4,0,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.270226277236,9.603729166666668
aguilel01w,G,67.0,165,George Washington,,47.0,3,0,UTA,2,0,4,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,16.990803704730265,10.159624113475177
ajavoma01w,G,68.0,160,Rutgers,,37.0,9,0,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.650779532782217,9.12502649006623
ajavoma01w,G,68.0,160,Rutgers,,37.0,10,0,WAS,2,0,34,19,1,4,5,3,4,0,2,6,16,6,6,5,8,2,0,26.176181440582887,9.897275979557065
aldrima01w,G,71.0,153,UNC Charlotte,,50.0,1,0,WAS,2,0,49,14,1,3,4,7,1,0,1,3,11,5,8,4,3,0,0,17.676399050951243,5.659977941176468
aldrima01w,G,71.0,153,UNC Charlotte,,50.0,2,0,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.321763056636224,-2.4082571428571415
alhalta01w,F-G,72.0,149,DePaul,,49.0,2,0,ORL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.07795216956024,2.57954761904762
allench01w,G,71.0,135,Notre Dame,,37.0,9,0,SAC,2,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9.367933299103187,4.858326530612246
amachma01w,F,73.0,175,,,45.0,2,0,NYL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.796493291369173,5.629666666666667
amachma01w,F,73.0,175,,,45.0,4,0,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.842540571648252,3.2342127659574453
amachma01w,F,73.0,175,,,45.0,6,0,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.441665153285522,18.166666666666664
ambermo01w,F,76.0,169,Arizona State,,52.0,3,0,SAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05893620156180934,-8.587
anderam01w,F,72.0,167,Brigham Young,,39.0,7,1,CON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4253923576004837,29.414
anderam01w,F,72.0,167,Brigham Young,,39.0,7,2,NYL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1482804347052935,1.6341111111111095
anderch01w,C,78.0,190,Vanderbilt,,42.0,4,0,SAC,5,0,29,7,0,3,3,0,0,2,4,7,5,3,2,1,0,0,0,11.638261731739439,2.1015789473684188
anderch01w,C,78.0,190,Vanderbilt,,42.0,5,0,SAC,2,0,11,2,0,2,2,1,0,0,1,1,2,1,0,0,0,0,0,16.81512114437758,4.150787878787881
anderch01w,C,78.0,190,Vanderbilt,,42.0,6,0,SAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.95595379153575,5.358406576980571
anderch01w,C,78.0,190,Vanderbilt,,42.0,7,0,SAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.30490739165303,11.68725362318841
anderch01w,C,78.0,190,Vanderbilt,,42.0,8,0,SAS,2,0,5,2,1,0,1,0,0,0,0,3,1,0,2,2,0,0,0,17.42563985404591,12.768755813953492
anderjo01w,G,68.0,166,Wisconsin,,37.0,9,0,CON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.16639208273915,5.421479564032699
anderke01w,G,67.0,125,Wisconsin,,49.0,1,0,WAS,2,2,30,2,2,3,5,5,0,0,4,1,3,1,2,0,0,0,0,27.88903675703182,7.572405529953918
anderke01w,G,67.0,125,Wisconsin,,49.0,2,0,CHA,2,0,7,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,11.505036581331545,0.06873529411764562
anderke01w,G,67.0,125,Wisconsin,,49.0,3,0,CHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.037954164146194,1.1929999999999974
andrame01w,F,71.0,165,Old Dominion,,47.0,1,0,CLE,6,5,166,21,5,12,17,14,6,3,11,17,33,8,9,5,9,0,0,38.633162960398174,12.06411919698871
andrame01w,F,71.0,165,Old Dominion,,47.0,2,0,CLE,3,3,72,13,5,4,9,1,2,2,7,9,17,6,0,0,2,1,0,41.18027905311602,6.450975363941769
andrame01w,F,71.0,165,Old Dominion,,47.0,3,0,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.557651137322857,3.982135338345866
andrame01w,F,71.0,165,Old Dominion,,47.0,5,0,CHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.91148998969402,3.6764000000000006
anosini01w,C,75.0,211,Tennessee,,37.0,9,0,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.878878354207934,17.54555108695652
anosini01w,C,75.0,211,Tennessee,,37.0,10,0,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.46382231764994,21.867311383928563
arcaija01w,G,71.0,147,none,,54.0,1,0,HOU,6,6,201,50,6,21,27,12,10,0,16,14,47,21,7,6,7,2,0,42.15560292479193,10.065220061412493
arcaija01w,G,71.0,147,none,,54.0,2,0,HOU,2,2,71,29,2,9,11,5,2,0,5,5,34,13,2,2,8,1,0,50.95045578314278,15.848771230502592
arcaija01w,G,71.0,147,none,,54.0,3,0,HOU,3,3,119,39,2,9,11,4,5,1,5,11,35,15,8,7,7,2,0,47.60044292415502,11.831434587813613
arcaija01w,G,71.0,147,none,,54.0,4,0,HOU,3,3,107,37,6,8,14,3,8,0,7,5,31,12,13,12,5,1,0,46.30833635947242,11.816749119718313
arcaija01w,G,71.0,147,none,,54.0,6,0,HOU,5,5,138,44,1,9,10,6,6,0,2,5,33,16,12,12,1,0,0,43.85309004236211,9.581269694161259
askamma01w,C,77.0,198,none,,53.0,1,0,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.747649506528305,11.183951668584587
askamma01w,C,77.0,198,none,,53.0,2,0,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.981012933012618,7.97519257540603
askamma01w,C,77.0,198,none,,53.0,3,2,LAS,4,3,24,2,1,2,3,0,0,0,0,4,5,0,2,2,0,0,0,20.852575468829663,12.05885116279069
askamma01w,C,77.0,198,none,,53.0,3,1,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.221299463438674,5.3560694444444445
atkinla01w,G-F,72.0,172,North Carolina,,39.0,7,0,IND,2,0,29,6,10,7,17,3,1,2,2,2,9,2,4,2,0,0,0,19.96871711930706,7.9574556354916055
atkinla01w,G-F,72.0,172,North Carolina,,39.0,8,0,SAC,2,0,7,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,15.88113986774937,7.300424778761064
atkinla01w,G-F,72.0,172,North Carolina,,39.0,9,0,SAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.778991894144873,6.258301369863012
atkinla01w,G-F,72.0,172,North Carolina,,39.0,10,0,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.444459438649076,17.9379347826087
atunrmo01w,G-F,70.0,143,Texas A&M,,37.0,9,0,SAS,8,0,44,10,0,7,7,4,1,1,1,4,8,4,2,0,4,2,0,19.259837180310296,6.131824712643678
