year,tmID,confID,rank,playoff,firstRound,semis,finals,o_oreb,o_dreb,d_oreb,d_dreb,min,arena,powerRanking2,offensiveFieldGoalPercentage,offensiveFreeThrowPercentage,offensiveThreePointPercentage,offensiveReboundsPerGame,offensiveAssistsPerGame,offensivePersonalFoulsPerGame,offensiveStealsPerGame,offensiveTurnoversPerGame,offensiveBlocksPerGame,offensivePointsPerGame,defensiveFieldGoalPercentage,defensiveFreeThrowPercentage,defensiveThreePointPercentage,defensiveReboundsPerGame,defensiveAssistsPerGame,defensivePersonalFoulsPerGame,defensiveStealsPerGame,defensiveTurnoversPerGame,defensiveBlocksPerGame,defensivePointsPerGame,winPercentage,homeWinPercentage,awayWinPercentage,conferenceWinPercentage,attendance
9,0,0,0,0,0,0,0,65.96596596596596,26.226226226226224,59.85985985985987,13.513513513513514,6825,11,-141.7933216837963,0.0,51.33506892937555,36.626847672400345,0.0,13.571428571428562,100.0,65.48672566371683,73.33333333333336,46.762589928057565,25.85669781931467,99.51185191281441,0.0,62.26887860731829,85.20179372197302,100.0,73.72262773722626,95.29411764705884,49.60000000000003,29.411764705882366,78.44112769485902,0.0,0.0,0.0,0.0,78.82076738656825
10,0,0,0,1,5,0,0,59.55955955955956,14.414414414414415,64.66466466466466,17.81781781781782,6950,11,105.10536168193477,80.56009684237202,34.03020182323734,8.097396780585782,100.0,54.6511627906977,86.3387978142076,71.79487179487177,88.96103896103895,28.571428571428566,54.19254658385091,36.300203428744496,34.75332671416806,35.692034949980965,56.80933852140079,91.7241379310345,58.510638297872376,100.0,79.21348314606739,50.0,57.83783783783786,54.54545454545454,71.42857142857146,28.571428571428587,32.69230769230769,42.80154096667858
1,1,0,0,0,0,0,0,69.46946946946947,36.93693693693694,67.36736736736736,33.533533533533536,6475,4,-84.23866846058017,58.62838175591689,48.83309170342506,67.72582357421292,47.651006711409394,82.14285714285714,76.81159420289855,6.779661016949152,40.853658536585364,28.723404255319153,55.742725880551305,92.81996967336632,60.90118482067122,50.4927807872135,81.25,100.0,0.7462686567164178,43.90243902439025,0.0,65.75342465753424,100.0,9.090909090909092,9.090909090909092,9.090909090909092,7.692307692307689,0.0
2,1,0,0,1,10,10,5,69.06906906906907,36.03603603603604,65.56556556556556,43.24324324324324,6500,4,155.10934051950488,56.940444906124796,83.95499352783033,73.57117326490211,26.635514018691588,29.891304347826086,51.61290322580645,12.711864406779661,42.57425742574257,42.10526315789473,25.769230769230766,19.7484724673752,66.1882964068418,19.368246051537852,9.30232558139535,31.07344632768362,22.65193370165746,45.33333333333333,36.53846153846153,66.66666666666666,45.94594594594595,44.44444444444444,54.54545454545454,50.0,73.33333333333333,6.6113786797846865
3,1,0,0,1,5,0,0,69.76976976976978,34.63463463463464,70.47047047047047,37.93793793793794,6450,4,131.0472750169593,67.55771423432455,62.727301258513045,100.0,31.386861313868614,44.230769230769226,86.53846153846155,42.5531914893617,0.0,23.157894736842106,53.00668151447662,69.8316072416792,54.03009310737781,58.55580688383354,0.6211180124223602,64.75409836065575,22.981366459627328,0.0,0.0,41.02564102564102,53.31858407079646,56.25,70.0,50.0,54.54545454545454,7.572122666085081
4,1,0,0,1,5,0,0,65.76576576576578,37.03703703703704,61.36136136136137,37.83783783783784,6850,4,162.139613098576,53.209992500983475,79.23098476526687,72.4334080840125,5.128205128205108,44.65408805031445,86.9747899159664,74.79674796747966,36.206896551724114,35.80246913580247,26.315789473684166,34.74328446386977,0.0,55.05414112898372,10.937499999999991,25.925925925925924,19.61722488038279,47.67441860465117,24.193548387096786,19.512195121951205,14.887640449438235,58.82352941176472,90.90909090909093,27.272727272727277,53.84615384615385,12.935418302428142
5,1,0,0,0,0,0,0,74.37437437437437,38.33833833833834,63.16316316316316,37.13713713713714,6900,4,68.65828583473898,77.63871142055518,49.25105523549369,77.60935415878197,0.0,0.0,48.18652849740931,0.9523809523809493,29.100529100529084,73.07692307692311,0.0,46.13436259358796,55.285602503589516,90.62723062065726,19.708029197080258,50.42016806722689,4.316546762589915,15.887850467289718,4.294478527607383,5.88235294117648,0.0,43.749999999999986,44.44444444444445,42.857142857142854,27.999999999999996,2.3558463024364986
6,1,0,0,0,0,0,0,68.36836836836837,39.03903903903904,64.46446446446447,29.929929929929934,6945,4,-161.1902172204067,6.057415852267319,36.42488608952028,77.06674720628199,0.0,42.85714285714288,81.11111111111111,63.12056737588653,75.34246575342466,35.92233009708738,0.0,100.0,0.0,100.0,80.34188034188035,45.86466165413531,41.55844155844155,83.72093023255813,58.29383886255924,89.33333333333333,77.07006369426745,0.0,0.0,0.0,10.000000000000004,0.0
7,1,0,0,0,0,0,0,65.26526526526526,25.225225225225223,62.96296296296296,12.912912912912914,6825,17,-15.804936459773787,3.2740276558583394,11.121378678388878,41.30688878772592,27.54716981132079,31.51515151515151,80.31496062992129,75.77639751552796,98.50746268656717,100.0,21.003134796238225,55.902199146653,69.99716068980639,46.752549651100296,83.7121212121212,31.78807947019868,82.55033557046978,71.42857142857146,92.82051282051285,66.66666666666666,45.29307282415633,28.57142857142857,33.33333333333333,20.0,18.181818181818183,48.42660433322202
7,2,0,0,0,0,0,0,64.26426426426426,31.931931931931935,62.06206206206206,13.913913913913914,6800,19,-190.87768599695758,0.0,0.0,0.0,6.037735849056586,20.606060606060602,56.692913385826785,52.17391304347825,63.43283582089552,58.33333333333333,0.0,100.0,49.048913043478386,100.0,83.3333333333333,98.67549668874173,0.0,40.259740259740276,49.74358974358973,57.4074074074074,65.89698046181174,0.0,0.0,0.0,0.0,0.0
